left,right,left_mean_f2p,right_mean_f2p,paired_tasks,matched_tasks,left_cost_usd_imputed,right_cost_usd_imputed
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav@05dda73f3803,0.45454353979362866,0.46972729181447875,arktype-json-schema-refs-dependencies awilix-async-container-initialization clack-async-autocomplete-options claude-code-by-agents-recursive-delegation cliffy-config-file-parsing drizzle-orm-window-function-builders dynamodb-toolbox-conditional-attribute-requirements dynamodb-toolbox-lazy-recursive-schemas effect-sse-httpapi-streaming eicrud-keyset-pagination-cursor happy-dom-abort-pending-body-reads happy-dom-deterministic-intersectionobserver httpx-deterministic-cookie-store ink-grid-box-layout kea-atomic-signal-selectors koota-composite-trait-aspects koota-deferred-mutation-buffer koota-pair-relation-tracking koota-query-predicates kysely-window-grouping-helpers meriyah-explicit-resource-declarations obsidian-linter-auto-table-of-contents obsidian-linter-link-format-conversion obsidian-linter-scoped-ignore-markers ofetch-per-origin-circuit-breaker optique-conditional-option-dependencies prometheus-transactional-reload-status query-persist-restored-query-state quill-shared-toolbar-focus sql-formatter-bigquery-pipe-formatting superjson-error-stack-serialization true-myth-iterable-collection-combinators ts-pattern-match-each valibot-recursive-schema-composition vitest-duration-sharding,true-myth-iterable-collection-combinators,0.86251395,0.58467795
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav@09a0006447bc,0.45454353979362866,0.5238095238095238,eicrud-keyset-pagination-cursor happy-dom-deterministic-intersectionobserver kea-atomic-signal-selectors,happy-dom-deterministic-intersectionobserver,0.178692075,0.24116805
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav@4e64b558fd51,0.45454353979362866,0.403765227021041,eicrud-keyset-pagination-cursor happy-dom-deterministic-intersectionobserver kea-atomic-signal-selectors koota-query-predicates ts-pattern-match-each valibot-recursive-schema-composition,happy-dom-deterministic-intersectionobserver,0.178692075,0.17146214999999998
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav@53df2ac6b5dc,0.45454353979362866,0.4378472222222222,awilix-async-container-initialization effect-sse-httpapi-streaming kea-atomic-signal-selectors query-persist-restored-query-state ts-pattern-match-each valibot-recursive-schema-composition,query-persist-restored-query-state,0.5020974,0.54516495
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav@5ae32c2a55c0,0.45454353979362866,0.44218346253229973,eicrud-keyset-pagination-cursor happy-dom-deterministic-intersectionobserver kea-atomic-signal-selectors koota-query-predicates ts-pattern-match-each valibot-recursive-schema-composition,ts-pattern-match-each,0.1611804,0.22340084999999998
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav@5f9f93834c93,0.45454353979362866,0.5794161075282827,eicrud-keyset-pagination-cursor happy-dom-deterministic-intersectionobserver kea-atomic-signal-selectors koota-query-predicates ts-pattern-match-each valibot-recursive-schema-composition,happy-dom-deterministic-intersectionobserver,0.178692075,0.14757585
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav-overview-graph@53df2ac6b5dc,0.45454353979362866,0.3597222222222222,awilix-async-container-initialization effect-sse-httpapi-streaming kea-atomic-signal-selectors query-persist-restored-query-state ts-pattern-match-each valibot-recursive-schema-composition,query-persist-restored-query-state,0.5020974,0.6022561500000001
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav-overview-context@53df2ac6b5dc,0.45454353979362866,0.3993203309692671,awilix-async-container-initialization effect-sse-httpapi-streaming kea-atomic-signal-selectors query-persist-restored-query-state ts-pattern-match-each valibot-recursive-schema-composition,query-persist-restored-query-state,0.5020974,0.36284625
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav-resolve-graph@53df2ac6b5dc,0.45454353979362866,0.35277777777777775,awilix-async-container-initialization effect-sse-httpapi-streaming kea-atomic-signal-selectors query-persist-restored-query-state ts-pattern-match-each valibot-recursive-schema-composition,,,
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav-overview-def@53df2ac6b5dc,0.45454353979362866,0.4222222222222222,awilix-async-container-initialization effect-sse-httpapi-streaming kea-atomic-signal-selectors query-persist-restored-query-state ts-pattern-match-each valibot-recursive-schema-composition,,,
codex:gpt-5.4-mini:low:stock,codex:gpt-5.4-mini:low:symnav-overview-refs@53df2ac6b5dc,0.45454353979362866,0.35277777777777775,awilix-async-container-initialization effect-sse-httpapi-streaming kea-atomic-signal-selectors query-persist-restored-query-state ts-pattern-match-each valibot-recursive-schema-composition,query-persist-restored-query-state,0.5020974,0.5457198
codex:gpt-5.4:xhigh:stock,codex:gpt-5.4:xhigh:symnav@7f45343f6e7e,0.6570893260289522,0.7368563910155088,abs-module-cache-flags abs-stepped-slices actionlint-action-pinning-lint adaptix-name-mapping-aliases aiomonitor-task-snapshots-diff arktype-json-schema-refs-dependencies awilix-async-container-initialization clack-async-autocomplete-options claude-code-by-agents-recursive-delegation cliffy-config-file-parsing drizzle-orm-window-function-builders dynamodb-toolbox-conditional-attribute-requirements dynamodb-toolbox-lazy-recursive-schemas effect-sse-httpapi-streaming eicrud-keyset-pagination-cursor happy-dom-abort-pending-body-reads happy-dom-deterministic-intersectionobserver httpx-deterministic-cookie-store ink-grid-box-layout kea-atomic-signal-selectors koota-composite-trait-aspects koota-deferred-mutation-buffer koota-pair-relation-tracking koota-query-predicates kysely-window-grouping-helpers meriyah-explicit-resource-declarations obsidian-linter-auto-table-of-contents obsidian-linter-link-format-conversion obsidian-linter-scoped-ignore-markers ofetch-per-origin-circuit-breaker optique-conditional-option-dependencies prometheus-transactional-reload-status sql-formatter-bigquery-pipe-formatting,claude-code-by-agents-recursive-delegation drizzle-orm-window-function-builders dynamodb-toolbox-conditional-attribute-requirements dynamodb-toolbox-lazy-recursive-schemas happy-dom-abort-pending-body-reads httpx-deterministic-cookie-store kysely-window-grouping-helpers meriyah-explicit-resource-declarations ofetch-per-origin-circuit-breaker,3.9751117000000002,3.966170888888889
